team_position,team_name,team_ranking
1,South Africa,3032
2,Ireland,3022
3,New Zealand,3016
4,France,2926
5,England,2871
6,Scotland,2776
7,Argentina,2744
8,Australia,2714
9,Wales,2688
10,Czech Republic,2646
11,Fiji,2611
12,Lithuania,2606
13,Switzerland,2600
14,Japan,2596
15,Germany,2596
16,Netherlands,2592
17,Italy,2589
18,Croatia,2587
19,Ukraine,2587
20,Poland,2577
21,Malta,2575
22,Algeria,2554
23,Sweden,2543
24,Nigeria,2543
25,Mexico,2540
26,Samoa,2536
27,Cameroon,2535
28,Hong Kong,2533
29,Guyana,2524
30,Burkina Faso,2521
31,Papua New Guinea,2517
32,Mauritius,2514
33,Costa Rica,2513
34,Venezuela,2506
35,Georgia,2504
36,Philippines,2502
37,Colombia,2497
38,Spain,2489
39,Bulgaria,2487
40,Tonga,2485
41,Senegal,2484
42,Guam,2482
43,Sri Lanka,2480
44,Zimbabwe,2478
45,Kenya,2477
46,Bermuda,2476
47,Cook Islands,2475
48,Israel,2474
49,Uruguay,2471
50,Barbados,2471
51,Cayman Islands,2470
52,Latvia,2469
53,Uganda,2467
54,Solomon Islands,2466
55,Luxembourg,2465
56,United Arab Emirates,2460
57,Monaco,2460
58,Morocco,2458
59,Niue Island,2458
60,Bahamas,2457
61,Denmark,2454
62,Uzbekistan,2454
63,Portugal,2447
64,Madagascar,2447
65,Jamaica,2446
66,Zambia,2445
67,Rwanda,2445
68,Korea,2443
69,Tunisia,2443
70,Indonesia,2442
71,Vanuatu,2441
72,Kazakhstan,2440
73,Botswana,2438
74,Chinese Taipei,2437
75,Namibia,2436
76,Romania,2432
77,Thailand,2432
78,Pakistan,2431
79,Malaysia,2422
80,Paraguay,2416
81,Greece,2416
82,Ghana,2412
83,Singapore,2412
84,India,2403
85,Peru,2397
86,Belgium,2392
87,Bosnia and Herzegovina,2375
88,Finland,2373
89,Andorra,2371
90,Burundi,2367
91,Hungary,2365
92,Canada,2363
93,Slovenia,2359
94,Austria,2352
95,Chile,2336
96,Brazil,2300
97,Norway,2267
