period_monday,team_name,streak
1992-01-13,England,1
1992-01-20,England,2
1992-01-27,England,3
1992-02-03,England,4
1992-02-10,England,5
1992-02-17,England,6
1992-02-24,England,7
1992-03-02,England,8
1992-03-09,England,9
1992-03-16,England,10
1992-03-23,England,11
1992-03-30,England,12
1992-04-06,England,13
1992-04-13,England,14
1992-04-20,England,15
1992-04-27,England,16
1992-05-04,England,17
1992-05-11,England,18
1992-05-18,England,19
1992-05-25,England,20
1992-06-01,England,21
1992-06-08,England,22
1992-06-15,England,23
1992-06-22,England,24
1992-06-29,England,25
1992-07-06,England,26
1992-07-13,England,27
1992-07-20,England,28
1992-07-27,England,29
1992-08-03,England,30
1992-08-10,England,31
1992-08-17,England,32
1992-08-24,England,33
1992-08-31,England,34
1992-09-07,England,35
1992-09-14,England,36
1992-09-21,England,37
1992-09-28,England,38
1992-10-05,England,39
1992-10-12,England,40
1992-10-19,England,41
1992-10-26,England,42
1992-11-02,England,43
1992-11-09,England,44
1992-11-16,England,45
1992-11-23,England,46
1992-11-30,England,47
1992-12-07,England,48
1992-12-14,England,49
1992-12-21,England,50
1992-12-28,England,51
1993-01-04,England,52
1993-01-11,England,53
1993-01-18,England,54
1993-01-25,England,55
1993-02-01,England,56
1993-02-08,England,57
1993-02-15,England,58
1993-02-22,England,59
1993-03-01,England,60
1993-03-08,England,61
1993-03-15,England,62
1993-03-22,England,63
1993-03-29,England,64
1993-04-05,England,65
1993-04-12,England,66
1993-04-19,England,67
1993-04-26,Poland,1
1993-05-03,Poland,2
1993-05-10,Portugal,1
1993-05-17,Portugal,2
1993-05-24,Poland,1
1993-05-31,Poland,2
1993-06-07,Poland,3
1993-06-14,Poland,4
1993-06-21,Poland,5
1993-06-28,Poland,6
1993-07-05,Poland,7
1993-07-12,Poland,8
1993-07-19,Poland,9
1993-07-26,Poland,10
1993-08-02,Poland,11
1993-08-09,Poland,12
1993-08-16,Poland,13
1993-08-23,Poland,14
1993-08-30,Poland,15
1993-09-06,Poland,16
1993-09-13,Poland,17
1993-09-20,Poland,18
1993-09-27,Poland,19
1993-10-04,Poland,20
1993-10-11,Poland,21
1993-10-18,Poland,22
1993-10-25,Sweden,1
1993-11-01,Poland,1
1993-11-08,Poland,2
1993-11-15,Poland,3
1993-11-22,Poland,4
1993-11-29,Poland,5
1993-12-06,Poland,6
1993-12-13,Poland,7
1993-12-20,Poland,8
1993-12-27,Poland,9
1994-01-03,Poland,10
1994-01-10,Poland,11
1994-01-17,Poland,12
1994-01-24,Poland,13
1994-01-31,England,1
1994-02-07,England,2
