match_date,competition_name,home_team,home_score,home_elo,home_tries,home_conversion,home_penalty,home_kick,away_team,away_score,away_elo,away_tries,away_conversion,away_penalty,away_kick
1992-01-18,International Test Match,Spain,3,2484,0,0,1,0,England B,34,2515,4,4,2,0
1992-01-18,Six Nations Championship,Scotland,7,2484,1,1,0,0,England,25,2515,1,1,6,0
1992-01-18,Six Nations Championship,Ireland,15,2489,0,0,5,0,Wales,16,2510,1,1,3,0
1992-02-01,Six Nations Championship,England,38,2528,5,5,1,0,Ireland,9,2476,0,0,3,0
1992-02-01,Six Nations Championship,Wales,9,2499,0,0,3,0,France,12,2510,0,0,4,0
1992-02-15,Six Nations Championship,France,13,2495,1,1,2,0,England,31,2543,4,4,1,0
1992-02-15,Six Nations Championship,Ireland,10,2466,1,1,1,0,Scotland,18,2494,0,0,6,0
1992-03-07,Six Nations Championship,England,24,2556,3,3,1,0,Wales,0,2487,0,0,0,0
1992-03-07,Six Nations Championship,Scotland,10,2504,1,1,1,0,France,6,2486,0,0,2,0
1992-03-21,Six Nations Championship,France,44,2499,5,5,3,0,Ireland,12,2452,0,0,4,0
1992-03-21,Six Nations Championship,Wales,15,2497,0,0,5,0,Scotland,12,2494,0,0,4,0
1992-03-27,FIRA Championship D2,Andorra,6,2484,0,0,2,0,Portugal,29,2515,2,2,5,0
1992-03-27,FIRA Championship D2,Germany,7,2509,1,1,0,0,Netherlands,3,2490,0,0,1,0
1992-04-10,FIRA Championship D2,Portugal,15,2524,0,0,5,0,Morocco,0,2490,0,0,0,0
1992-04-10,FIRA Championship D2,Belgium,17,2509,2,2,1,0,Germany,10,2499,1,1,1,0
1992-04-24,FIRA Championship D2,Morocco,38,2505,5,5,1,0,Andorra,10,2470,1,1,1,0
1992-04-25,FIRA Championship D2,Portugal,18,2533,0,0,6,0,Tunisia,16,2490,1,1,3,0
1992-05-13,FIRA Championship D2,Netherlands,12,2480,0,0,4,0,Poland,17,2510,2,2,1,0
1992-06-30,FIRA Championship D2,Tunisia,5,2481,1,0,0,0,Morocco,6,2514,0,0,2,0
1992-09-11,International Test Match,Spain,14,2469,2,0,0,0,Scotland A,35,2514,4,0,3,0
1992-10-25,FIRA Championship D2,Poland,17,2519,2,2,1,0,Sweden,10,2490,1,1,1,0
1992-10-25,Rugby World Cup Qualifier,Denmark,8,2509,1,0,1,0,Switzerland,3,2490,0,0,1,0
1992-10-26,Rugby World Cup Qualifier,Andorra,3,2481,0,0,1,0,Denmark,0,2498,0,0,0,0
1992-10-30,FIRA Championship D2,Poland,25,2533,1,1,6,0,Czech Republic,8,2486,1,0,1,0
1992-10-30,FIRA Championship D2,Hungary,5,2509,1,0,0,0,Austria,3,2490,0,0,1,0
1992-10-30,Rugby World Cup Qualifier,Andorra,0,2471,0,0,0,0,Switzerland,14,2500,2,2,0,0
1992-11-06,FIRA Championship D2,Slovenia,3,2484,0,0,1,0,Croatia,35,2515,5,5,0,0
1992-11-14,FIRA Championship D2,Czech Republic,21,2495,3,3,0,0,Netherlands,16,2470,1,1,3,0
1992-11-20,FIRA Championship D2,Slovenia,9,2494,0,0,3,0,Austria,5,2480,1,0,0,0
1992-11-27,FIRA Championship D2,Netherlands,40,2485,4,4,4,0,Andorra,6,2456,0,0,2,0
1993-01-16,Six Nations Championship,England,16,2564,1,1,3,0,France,15,2491,0,0,5,0
1993-01-16,Six Nations Championship,Scotland,15,2502,0,0,5,0,Ireland,3,2443,0,0,1,0
1993-02-06,Six Nations Championship,France,11,2501,1,0,2,0,Scotland,3,2492,0,0,1,0
1993-02-06,Six Nations Championship,Wales,10,2508,1,1,1,0,England,9,2552,0,0,3,0
1993-02-20,Six Nations Championship,Ireland,6,2435,0,0,2,0,France,21,2510,3,3,0,0
1993-02-20,Six Nations Championship,Scotland,20,2507,2,2,2,0,Wales,0,2493,0,0,0,0
1993-03-04,International Test Match,England A,66,2513,11,0,1,0,Spain,5,2456,1,0,0,0
1993-03-06,Six Nations Championship,England,26,2561,2,2,4,0,Scotland,12,2499,0,0,4,0
1993-03-06,Six Nations Championship,Wales,14,2481,2,2,0,0,Ireland,19,2447,1,1,4,0
1993-03-20,Six Nations Championship,France,26,2523,2,2,4,0,Wales,10,2468,1,1,1,0
1993-03-20,Six Nations Championship,Ireland,17,2460,2,2,1,0,England,3,2548,0,0,1,0
1993-04-16,FIRA Championship D2,Andorra,6,2448,0,0,2,0,Poland,19,2541,1,1,4,0
1993-04-30,FIRA Championship D2,Hungary,36,2523,3,3,5,0,Slovenia,6,2480,0,0,2,0
1993-04-30,Rugby World Cup Qualifier,Germany,31,2514,4,4,1,0,Lithuania,5,2485,1,0,0,0
1993-05-01,FIRA Championship D2,Netherlands,0,2476,0,0,0,0,Poland,7,2549,1,1,0,0
1993-05-07,FIRA Championship D2,Austria,0,2466,0,0,0,0,Croatia,16,2529,1,1,3,0
1993-05-07,Rugby World Cup Qualifier,Latvia,5,2485,1,0,0,0,Germany,27,2529,3,3,2,0
1993-05-10,Rugby World Cup Qualifier,Portugal,8,2542,1,0,1,0,Belgium,3,2500,0,0,1,0
1993-05-10,Rugby World Cup Qualifier,Spain,40,2472,4,4,4,0,Switzerland,0,2483,0,0,0,0
1993-05-12,Rugby World Cup Qualifier,Spain,67,2488,7,7,6,0,Belgium,6,2485,0,0,2,0
1993-05-12,Rugby World Cup Qualifier,Portugal,32,2554,2,2,6,0,Switzerland,0,2471,0,0,0,0
1993-05-14,FIRA Championship D2,Andorra,6,2459,0,0,2,0,Czech Republic,3,2484,0,0,1,0
1993-05-14,Rugby World Cup Qualifier,Belgium,42,2499,6,6,0,0,Switzerland,3,2457,0,0,1,0
1993-05-15,Rugby World Cup Qualifier,Portugal,15,2536,0,0,5,0,Spain,37,2506,4,4,3,0
1993-05-21,FIRA Championship D2,Croatia,78,2543,9,9,5,0,Hungary,3,2509,0,0,1,0
1993-05-24,Rugby World Cup Qualifier,Russia,15,2509,0,0,5,0,Georgia,9,2490,0,0,3,0
1993-05-26,Rugby World Cup Qualifier,Poland,23,2561,2,2,3,0,Georgia,6,2478,0,0,2,0
1993-05-28,Rugby World Cup Qualifier,Poland,5,2544,1,0,0,0,Russia,41,2527,5,5,2,0
1993-05-28,Rugby World Cup Qualifier,Lithuania,6,2475,0,0,2,0,Latvia,7,2495,1,1,0,0
1993-05-29,Rugby World Cup Qualifier,Hungary,8,2493,1,0,1,0,Israel,67,2515,7,7,6,0
1993-06-05,FIRA Championship D2,Sweden,30,2504,3,3,3,0,Czech Republic,7,2470,1,1,0,0
1993-06-11,Rugby World Cup Qualifier,Fiji,11,2489,1,0,2,0,Tonga,24,2510,3,3,1,0
1993-07-02,Rugby World Cup Qualifier,Namibia,64,2514,7,7,5,0,Arabian Gulf,20,2485,2,2,2,0
1993-07-02,Rugby World Cup Qualifier,Kenya,7,2484,1,1,0,0,Zimbabwe,42,2515,6,6,0,0
1993-07-06,Rugby World Cup Qualifier,Zimbabwe,50,2528,5,5,5,0,Arabian Gulf,21,2472,3,3,0,0
1993-07-06,Rugby World Cup Qualifier,Kenya,9,2470,0,0,3,0,Namibia,60,2528,6,6,6,0
